Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Forest area (% of land area),AG.LND.FRST.ZS,Kosovo,XKX,..,..,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Kuwait,KWT,0.350729517396184,0.350729517396184,0.350729517396184,0.350729517396184,0.350729517396184
Forest area (% of land area),AG.LND.FRST.ZS,Kyrgyz Republic,KGZ,6.52664233576642,6.54973931178311,6.57280604796663,6.66788321167883,6.76298227320125
Forest area (% of land area),AG.LND.FRST.ZS,Lao PDR,LAO,72.6516464471404,72.5021663778163,72.3526863084922,72.2032062391681,72.053726169844
Forest area (% of land area),AG.LND.FRST.ZS,Latvia,LVA,54.5011008083308,54.5632924614717,54.6254841146126,54.6876757677536,54.7498674208945
Forest area (% of land area),AG.LND.FRST.ZS,Lebanon,LBN,13.7174975562072,13.7761485826002,13.8347996089932,13.8934506353861,13.9521016617791
Forest area (% of land area),AG.LND.FRST.ZS,Lesotho,LSO,1.13702239789196,1.13702239789196,1.13702239789196,1.13702239789196,1.13702239789196
Forest area (% of land area),AG.LND.FRST.ZS,Liberia,LBR,80.6555232558139,80.3413621262459,80.0272009966777,79.7130398671096,79.3988787375415
Forest area (% of land area),AG.LND.FRST.ZS,Libya,LBY,0.123327687918433,0.123327687918433,0.123327687918433,0.123327687918433,0.123327687918433
Forest area (% of land area),AG.LND.FRST.ZS,Liechtenstein,LIE,41.875,41.875,41.875,41.875,41.875
Forest area (% of land area),AG.LND.FRST.ZS,Lithuania,LTU,34.9082202713488,34.9605695859008,35.0569116074137,35.0950023950184,35.1325455126158
Forest area (% of land area),AG.LND.FRST.ZS,Luxembourg,LUX,34.4538272103664,34.4538272103664,34.4538272103664,34.4538272103664,34.4538272103664
"Forest area (% of land area),AG.LND.FRST.ZS,""Macao SAR, China"",MAC,..,..,..,..,.."
Forest area (% of land area),AG.LND.FRST.ZS,Madagascar,MDG,21.4779821244414,21.4552767273977,21.4325541423169,21.4098315572362,21.3871261601925
Forest area (% of land area),AG.LND.FRST.ZS,Malawi,MWI,26.0044548154434,25.5589732711073,25.1134917267713,24.6680101824353,24.2225286380993
Forest area (% of land area),AG.LND.FRST.ZS,Malaysia,MYS,59.2427940952671,58.7875209252777,58.6348805356871,58.4822401460965,58.3295997565059
Forest area (% of land area),AG.LND.FRST.ZS,Maldives,MDV,2.73333333333333,2.73333333333333,2.73333333333333,2.73333333333333,2.73333333333333
Forest area (% of land area),AG.LND.FRST.ZS,Mali,MLI,10.896663634352,10.896663634352,10.896663634352,10.896663634352,10.896663634352
Forest area (% of land area),AG.LND.FRST.ZS,Malta,MLT,1.09375,1.1875,1.3125,1.4375,1.4375
Forest area (% of land area),AG.LND.FRST.ZS,Marshall Islands,MHL,52.2222222222222,52.2222222222222,52.2222222222222,52.2222222222222,52.2222222222222
Forest area (% of land area),AG.LND.FRST.ZS,Mauritania,MRT,0.329911710488018,0.324633744057437,0.319394586203551,0.314058406907927,0.308819249054041
Forest area (% of land area),AG.LND.FRST.ZS,Mauritius,MUS,19.1787681522283,19.1737606409614,19.3540310465699,19.3740610916375,19.3940911367051
Forest area (% of land area),AG.LND.FRST.ZS,Mexico,MEX,34.1217160935209,34.0559942385349,33.9902672393837,33.9245402402325,33.8588183852465
"Forest area (% of land area),AG.LND.FRST.ZS,""Micronesia, Fed. Sts."",FSM,91.8142857142857,91.8571428571429,91.9,91.9428571428572,91.9857142857143"
Forest area (% of land area),AG.LND.FRST.ZS,Moldova,MDA,11.7518248175182,11.7548661800487,11.7512921860748,11.7529716925191,11.7527572607105
Forest area (% of land area),AG.LND.FRST.ZS,Monaco,MCO,0,0,0,0,0
Forest area (% of land area),AG.LND.FRST.ZS,Mongolia,MNG,9.10469149761818,9.10397870509873,9.10326591257927,9.10255545816196,9.10182513109581
Forest area (% of land area),AG.LND.FRST.ZS,Montenegro,MNE,61.4869888475836,61.4869888475836,61.4869888475836,61.4869888475836,61.4869888475836
Forest area (% of land area),AG.LND.FRST.ZS,Morocco,MAR,12.7373739637015,12.7712077078199,12.7976473224289,12.8200537754873,12.8435805511987
Forest area (% of land area),AG.LND.FRST.ZS,Mozambique,MOZ,48.2463948727078,47.8500089015489,47.5680968488517,47.3361072255144,47.0079478114906
Forest area (% of land area),AG.LND.FRST.ZS,Myanmar,MMR,45.9246034176517,45.5018995680015,45.0601608579088,44.6197487360196,44.1758847862724
Forest area (% of land area),AG.LND.FRST.ZS,Namibia,NAM,8.49512322510901,8.40887172199347,8.32262021887792,8.23636871576237,8.15011721264682
Forest area (% of land area),AG.LND.FRST.ZS,Nauru,NRU,0,0,0,0,0
Forest area (% of land area),AG.LND.FRST.ZS,Nepal,NPL,41.5907220090687,41.5907220090687,41.5907220090687,41.5907220090687,41.5907220090687
Forest area (% of land area),AG.LND.FRST.ZS,Netherlands,NLD,10.8354618354618,10.8630828630829,10.8910008910009,10.9186219186219,10.9465399465399
Forest area (% of land area),AG.LND.FRST.ZS,New Caledonia,NCL,45.8708971553611,45.8654266958425,45.8599562363239,45.8544857768053,45.8490153172867
